,Aka,Bethlehem,Dura,Haifa,Halhoul,Hebron,Jenin,Jericho,Jerusalem,Nablus,Nazareth,Qalqilya,Ramallah,Ramleh,Sabastia,Safad,Salfit,Tubas,Tulkarm,Yafa
Aka,0,132+181+10000,158+209+10000,15+35+25,150+199+10000,155+210+10000,56+75+10000,125+192+10000,130+169+10000,102+112+10000,33+41+10000,82+106+10000,111+159+10000,113+170+10000,74+101+10000,40+54+47,94+1+44,73+93+10000,69+87+10000,98+121+10000
Bethlehem,132+181+10000,0,32+47+10000,121+153+10000,17+43+30,22+45+34,122+114+10000,29+41+35,29+41+35,77+79+10000,107+145+10000,122+136+10000,30+106+10000,39+177+10000,59+79+10000,139+185+10000,38+55+10000,66+98+10000,111+145+10000,55+71+10000
Dura,158+209+10000,32+47+10000,0,146+189+10000,11+40+10000,7+11+9,109+160+10000,57+90+10000,34+55+10000,63+125+10000,135+191+10000,77+127+10000,54+71+10000,49+225+10000,87+133+10000,169+231+10000,66+101+10000,96+145+10000,89+136+10000,68+103+10000
Haifa,15+35+25,121+153+10000,146+189+10000,0,138+165+10000,144+182+10000,49+118+84,116+168+10000,119+145+10000,93+96+10000,32+60+46,69+83+10000,101+135+10000,100+105+10000,63+85+10000,50+72+10000,84+120+10000,66+80+10000,57+70+10000,84+97+10000
Halhoul,150+199+10000,17+43+30,11+40+10000,138+165+10000,0,5+8+6,100+139+10000,46+68+10000,24+33+10000,53+103+10000,126+169+10000,69+103+10000,44+50+10000,45+62+10000,78+111+10000,159+210+10000,57+79+10000,86+123+10000,82+111+10000,63+79+10000
Hebron,155+210+10000,22+45+34,7+11+9,144+182+10000,5+8+6,0,109+152+10000,70+82+10000,34+46+10000,101+177+10000,131+183+10000,146+190+10000,54+63+10000,49+78+10000,83+124+10000,165+223+10000,62+92+10000,92+136+10000,134+145+10000,68+95+10000
Jenin,56+75+10000,122+114+10000,109+160+10000,49+118+84,100+139+10000,109+152+10000,0,109+124+10000,112+127+10000,43+50+10000,27+41+34,63+64+10000,93+95+10000,72+90+10000,23+34+29,60+75+10000,43+63+10000,17+30+24,52+68+10000,64+84+10000
Jericho,125+192+10000,29+41+35,57+90+10000,116+168+10000,46+68+10000,70+82+10000,109+124+10000,0,38+40+10000,44+130+87,95+137+10000,102+107+10000,20+53+37,57+74+10000,53+96+10000,124+166+10000,37+69+10000,52+108+10000,99+112+10000,69+90+10000
Jerusalem,130+169+10000,7+9+8,34+55+10000,119+145+10000,24+33+10000,34+46+10000,112+127+10000,38+40+10000,0,67+71+10000,104+137+10000,105+107+10000,21+21+21,38+45+42,56+79+10000,136+178+10000,35+47+10000,63+91+10000,99+105+10000,54+66+10000
Nablus,102+112+10000,77+79+10000,63+125+10000,93+96+10000,53+103+10000,101+177+10000,43+50+10000,44+130+87,67+71+10000,0,75+84+10000,27+111+69,30+44+37,41+75+10000,8+33+21,107+111+10000,16+80+48,15+22+19,29+33+10000,48+68+10000
Nazareth,33+41+10000,107+145+10000,135+191+10000,32+60+46,126+169+10000,131+183+10000,27+41+34,95+137+10000,104+137+10000,75+84+10000,0,64+82+10000,84+121+10000,95+111+10000,48+58+10000,35+85+60,69+94+10000,42+50+10000,50+65+10000,85+105+10000
Qalqilya,82+106+10000,122+136+10000,77+127+10000,69+83+10000,69+103+10000,146+190+10000,63+64+10000,102+107+10000,105+107+10000,27+111+69,64+82+10000,0,49+68+10000,31+43+10000,23+36+10000,99+126+10000,38+48+10000,40+58+10000,34+43+10000,22+48+35
Ramallah,111+159+10000,30+106+10000,54+71+10000,101+135+10000,44+50+10000,54+63+10000,93+95+10000,20+53+37,21+21+21,30+44+37,84+121+10000,49+68+10000,0,39+45+42,37+63+10000,116+164+10000,18+38+28,43+74+10000,80+82+10000,49+62+10000
Ramleh,113+170+10000,39+177+10000,49+225+10000,100+105+10000,45+62+10000,49+78+10000,72+90+10000,57+74+10000,38+45+42,41+75+10000,95+111+10000,31+43+10000,39+45+42,0,50+67+10000,130+156+10000,35+51+10000,64+69+10000,45+52+10000,19+20+20
Sabastia,74+101+10000,59+79+10000,87+133+10000,63+85+10000,78+111+10000,83+124+10000,23+34+29,53+96+10000,56+79+10000,8+33+21,48+58+10000,23+36+10000,37+63+10000,50+67+10000,0,82+101+10000,21+35+10000,17+22+10000,17+36+27,45+61+10000
Safad,40+54+47,139+185+10000,169+231+10000,50+72+10000,159+210+10000,165+223+10000,60+75+10000,124+166+10000,136+178+10000,107+111+10000,35+85+60,99+126+10000,116+164+10000,130+156+10000,82+101+10000,0,103+137+10000,73+93+10000,86+109+10000,120+149+10000
Salfit,94+1+10000,38+55+10000,66+101+10000,84+120+10000,57+79+10000,62+92+10000,43+63+10000,37+69+10000,35+47+10000,16+80+48,69+94+10000,38+48+10000,18+38+28,35+51+10000,21+35+10000,103+137+10000,0,32+47+10000,29+53+10000,38+56+10000
Tubas,73+93+10000,66+98+10000,96+145+10000,66+80+10000,86+123+10000,92+136+10000,17+30+24,52+108+10000,63+91+10000,15+22+19,42+50+10000,40+58+10000,43+74+10000,64+69+10000,17+22+10000,73+93+10000,32+47+10000,0,32+39+10000,61+83+10000
Tulkarm,69+87+10000,111+145+10000,89+136+10000,57+70+10000,82+111+10000,134+145+10000,52+68+10000,99+112+10000,99+105+10000,29+33+10000,50+65+10000,34+43+10000,80+82+10000,45+52+10000,17+36+27,86+109+10000,29+53+10000,32+39+10000,0,35+46+10000
Yafa,98+121+10000,55+71+10000,68+103+10000,84+97+10000,63+79+10000,68+95+10000,64+84+10000,69+90+10000,54+66+10000,48+68+10000,85+105+10000,22+48+35,49+62+10000,19+20+20,45+61+10000,120+149+10000,38+56+10000,61+83+10000,35+46+10000,0
